sp_id,sp_name,avg_savings,,,,
63733,Mercedes-Benz of Palm Springs,2745,,,,
277788,Hambelton LaGreca Super Center,2739,,,,
58840,Continental Honda,2738,,,,
431275,Imperium Motorsports,2737.333333,,,,
377332,Formula One Imports - East,2735.385965,,,,
280650,Westcoast Auto Sales,2735,,,,
415932,Porsche Charleston,2734.522727,,,,
436600,All Around Auto Sales,2734.5,,,,
51517,Dale Earnhardt Chevrolet,2728,,,,
219291,Brubaker Chrysler Jeep,2727,,,,
410692,Ellenberg Motors,2721.75,,,,
334235,Gaudin Ford,2718.5,,,,
336753,Providence Chrysler Dodge Jeep RAM,2718,,,,
64544,Audi Grapevine,2717,,,,
67831,Germain Kia,2717,,,,
278053,Crest Volvo Cars,2711.5,,,,
371267,Volvo of Macon,2710,,,,
345579,Rickenbaugh Infiniti,2705,,,,
64342,Mercedes-Benz of Greensboro,2704.772727,,,,
439840,Maserati and Alfa Romeo of Monmouth,2704.466667,,,,
68081,Car Pros Kia,2704,,,,
342091,EZ Auto Finance,2703.5,,,,
408195,Classic Motors,2699.571429,,,,
385778,Century Trucks & Vans,2695.747619,,,,
276481,Toy Barn of Dublin,2694.566434,,,,
373569,Selective Motor Cars,2694,,,,
56739,Beartooth Ford,2687,,,,
298813,Porsche of the Village,2686,,,,
410085,Track & Field Motors,2685.625,,,,
390051,Auto Sale of K & Z,2684,,,,
434167,Falcon Auto Brokers LLC,2682.567568,,,,
385825,Davis Motor Co,2682,,,,
279828,Blue Grass Audi,2681,,,,
354021,California Cadillacs and Collectibles,2680.176471,,,,
275407,Hi-Line Autohaus,2678,,,,
438402,Kearny Mesa Car Sales,2677.25,,,,
284104,Bergstrom Imports of Oshkosh,2673.75,,,,
305563,Autodynamics Inc.,2671.927273,,,,
378376,Budget Car Sales of Harrisburg,2671.142857,,,,
380531,Moorhead Motors LLC,2669,,,,
362301,Clouse Motor Company Inc,2668.4,,,,
285173,Auto Gallery Mitsubishi - Corona,2667.451923,,,,
389338,OC Chief Auto,2666.777778,,,,
430598,Paley Auto Group,2663,,,,
372840,AA Discount Auto Sales,2662.105263,,,,
56229,Whited Ford Truck Center,2661.560976,,,,
367391,Porsche Bellevue,2660,,,,
434070,VIP Auto House Inc,2659.458333,,,,
326301,Lot 31 Auto Sales,2658,,,,
280610,Alpine Motors Inc,2655,,,,
349064,West Coast Motorcars,2653.657143,,,,
336279,Doug Justus Auto Center,2653,,,,
320120,Street Dreams LLC,2652.6,,,,
402873,The Truck Shop,2652.5,,,,
392721,Auto Outlet,2649.359862,,,,
397812,AutoFair Honda in Manchester,2648,,,,
430818,AMKO of Waldorf,2647.355932,,,,
336573,Martin Motor Company,2646.666667,,,,
326367,Robbins Chevrolet,2646.25,,,,
404117,GQC Auto Sales,2646,,,,
55644,Windward Ford of Hawaii,2644,,,,
376051,Klasse Auto,2642.875,,,,
378323,iDrive Utah,2642.873874,,,,
412287,Exotic Motorsports of Oklahoma,2636.888889,,,,
400119,Montana Auto Traders,2636.333333,,,,
397517,Porsche South Bay,2634.836735,,,,
53182,Lynch Buick GMC of West Bend,2630,,,,
